Trade_Dt,Alpha,Market,Size,Quality,Momentum,Growth,Capex,Fund
2012-01-31,0.814207917,0.073266997,0.04457709,0.010112861,0.095463407,0.00741188,-0.002580564,1.042459588
2012-02-29,0.912050493,0.129942757,0.039996668,0.00786405,0.070502847,0.008334458,-0.000438425,1.16825285
2012-03-31,0.962269471,0.1273315,0.045333146,0.010361835,0.088203585,0.008833432,-0.01604365,1.226289319
2012-04-30,1.015794508,0.110285886,0.051222219,3.74855E-05,0.107351269,0.008327362,-0.014841564,1.278177166
2012-05-31,1.007855543,-0.0087409,0.056381358,-0.012852649,0.154472669,0.005790769,-0.025984612,1.176922177
2012-06-30,1.021472049,0.045040419,0.03217039,-0.011527614,0.153047077,0.006015989,-0.040502427,1.205715884
2012-07-31,1.082656846,0.052760581,0.023369124,-0.012125888,0.17020541,0.007061198,-0.031615954,1.292311317
2012-08-31,1.062249488,0.082486464,0.017930373,0.008719899,0.16234296,0.008137914,-0.034365321,1.307501778
2012-09-30,1.163222047,0.117625857,0.025598157,0.006208371,0.156479481,0.006325397,-0.029193605,1.446265705
2012-10-31,1.192545898,0.125919852,0.019052347,0.006350354,0.157191861,0.005770474,-0.036222672,1.470608114
2012-11-30,1.211015598,0.146084806,0.001540451,0.013070198,0.160101471,0.00630804,-0.035552121,1.502568444
2012-12-31,1.391609284,0.18223257,0.010400996,0.005205971,0.152178688,-3.68932E-05,-0.047200357,1.694390258
2013-01-31,1.459941904,0.240671993,0.014714205,0.011463631,0.149188186,0.00010406,-0.05925511,1.816828869
2013-02-28,1.463396267,0.229590931,0.023662906,0.018970606,0.149459774,-2.5119E-05,-0.065044951,1.820010414
2013-03-31,1.562548647,0.237262638,0.034852968,0.017448862,0.167926326,-0.0012067,-0.069142799,1.949689943
2013-04-30,1.58886878,0.287714683,0.0259489,0.029006081,0.151321535,-0.000212152,-0.091219171,1.991428657
2013-05-31,1.482454941,0.278821843,0.019525943,0.048084847,0.139754106,0.001171611,-0.06473992,1.905073373
2013-06-30,1.299186082,0.235451886,0.021809619,0.042503077,0.160573195,0.000400416,-0.088651198,1.671273078
2013-07-31,1.308336113,0.299476133,0.015449147,0.045167155,0.146436418,0.001092341,-0.06973086,1.746226447
2013-08-31,1.194921957,0.287203668,0.030041431,0.043999878,0.16706818,0.000841233,-0.071111566,1.652964782
2013-09-30,1.244089166,0.3619115,0.035999358,0.045692217,0.159790066,0.000437998,-0.08611332,1.761806985
2013-10-31,1.370601379,0.40501091,0.025545198,0.048332974,0.163321547,-0.000225281,-0.093917858,1.91866887
2013-11-30,1.366179272,0.415608605,0.022504342,0.05715854,0.161585433,-0.000107447,-0.100943064,1.921985682
2013-12-31,1.370687682,0.437428618,0.024915793,0.060185502,0.161054946,-6.43068E-05,-0.093570314,1.96063792
2014-01-31,1.051046226,0.41271914,0.040009986,0.115886486,0.132659537,-0.001738934,-0.110869122,1.639713319
2014-02-28,1.029595389,0.473697963,0.031680768,0.096959777,0.157105191,-0.00127616,-0.121436269,1.666326658
2014-03-31,1.149103436,0.477997345,0.038633438,0.139152331,0.1161639,-0.000687049,-0.123758182,1.796605218
2014-04-30,1.204440678,0.494188276,0.027784297,0.151006425,0.105331709,-0.000668479,-0.119217102,1.862865804
2014-05-31,1.332102491,0.518171493,0.023974466,0.166038359,0.092636078,-0.001246778,-0.117721225,2.013954885
2014-06-30,1.381339517,0.5348818,0.034402835,0.16150569,0.097944871,-0.001478951,-0.107533499,2.101062262
2014-07-31,1.337273826,0.510115631,0.038174783,0.165563362,0.094621587,-0.001621824,-0.105659217,2.038468147
2014-08-31,1.398200238,0.505173295,0.039477623,0.161492366,0.095417494,-0.001688106,-0.107423346,2.090649564
2014-09-30,1.336121276,0.444803054,0.029499907,0.159162676,0.097026615,-0.001672693,-0.108748466,1.956192369
2014-10-31,1.391309124,0.418617711,0.018775068,0.174584686,0.095496958,-0.00053701,-0.103140951,1.995105585
2014-11-30,1.308003876,0.43313051,0.007655852,0.187063693,0.098120601,0.000124394,-0.102375735,1.93172319
2014-12-31,1.236863179,0.394988461,0.017925163,0.195211549,0.086936554,0.000817203,-0.078929213,1.853812896
2015-01-31,1.184433921,0.38917563,0.014571364,0.189201558,0.075145995,0.001865997,-0.073960415,1.78043405
2015-02-28,1.167983014,0.465069999,0.006653729,0.185422828,0.08595542,0.001227615,-0.068513733,1.843798871
2015-03-31,1.101415448,0.449094382,0.011893032,0.198473969,0.077554032,0.002100772,-0.060372451,1.780159183
2015-04-30,1.052412246,0.517570848,0.02351983,0.211379529,0.066677947,0.001789031,-0.043937141,1.82941229
2015-05-31,1.099026655,0.509999838,0.033058499,0.196062575,0.075678137,0.002803497,-0.04239789,1.874231311
2015-06-30,1.107675753,0.471347792,0.04480537,0.201946903,0.077595698,0.002754484,-0.044124559,1.86200144
2015-07-31,1.032842888,0.476707527,0.029769281,0.198023804,0.108313732,0.001068386,-0.052588719,1.7941369
2015-08-31,0.922344681,0.389151135,0.041497563,0.205358923,0.111528647,0.000870381,-0.057426038,1.613325292
2015-09-30,0.894220832,0.326134096,0.052085228,0.216022563,0.113902588,0.000578083,-0.057570834,1.545372556
2015-10-31,0.930917349,0.412783072,0.036811848,0.20615179,0.122674862,0.00185022,-0.04768561,1.663503531
2015-11-30,0.869500011,0.387704833,0.040013471,0.17521497,0.131855021,0.002248983,-0.029777034,1.576760254
2015-12-31,0.861731491,0.371120275,0.05185342,0.181582055,0.127487256,0.002773132,-0.023838956,1.572708674
2016-01-31,0.82041539,0.282017116,0.048600178,0.210652622,0.119515714,0.005222211,-0.032182881,1.454240351
2016-02-29,0.853847045,0.269294821,0.058071053,0.21358785,0.110467837,0.007477875,-0.035599741,1.477146741
2016-03-31,0.986564801,0.358019915,0.069361315,0.235957693,0.101389324,0.007251918,-0.030720184,1.727824783
2016-04-30,0.96841849,0.40174953,0.072583093,0.228939916,0.100242551,0.006726335,-0.03484648,1.743813435
2016-05-31,0.955410704,0.390122655,0.074879071,0.240381158,0.096617595,0.008044889,-0.02606678,1.739389292
2016-06-30,1.007641903,0.348902153,0.084055079,0.276627455,0.120914394,0.015305493,-0.022578291,1.830868185
2016-07-31,1.085036548,0.416010127,0.085144522,0.27463608,0.119494903,0.013906954,-0.018385593,1.975843542
2016-08-31,1.345873291,0.405145164,0.080559189,0.244911492,0.089247863,0.00248024,-0.025178714,2.143038525
2016-09-30,1.316149663,0.422363236,0.086366376,0.25248721,0.086353126,0.000277313,-0.033166345,2.130830578
2016-10-31,1.492577246,0.384107488,0.082721117,0.179226893,0.111079541,-0.004277049,-0.041529195,2.203906042
2016-11-30,0.943293171,0.378225374,0.093598957,0.236767866,0.15574823,-0.000948109,-0.051168656,1.755516833
2016-12-31,0.927258868,0.415028736,0.088897486,0.230865265,0.159073622,0.000597296,-0.055135007,1.766586266
2017-01-31,1.002226509,0.464018879,0.096810312,0.22600044,0.166955273,0.001424657,-0.057383293,1.900052776
2017-02-28,1.056193172,0.476125093,0.101737855,0.240527003,0.158962223,0.000911229,-0.055927535,1.97852904
2017-03-31,1.152706831,0.521320939,0.094920752,0.253878564,0.156660781,0.000141607,-0.054413698,2.125215776
2017-04-30,1.260916327,0.5647312,0.0918484,0.267243633,0.151721754,-0.000396628,-0.051844695,2.284219991
2017-05-31,1.224675643,0.603779068,0.086681133,0.244299488,0.180664351,-0.002441896,-0.053101906,2.28455588
2017-06-30,1.292142799,0.608807279,0.094737065,0.231123896,0.189050706,-0.001169373,-0.055213206,2.359479165
2017-07-31,1.456759606,0.659264622,0.095181242,0.200533207,0.210920239,0.00110883,-0.05909277,2.564674976
2017-08-31,1.442188818,0.661816034,0.096485465,0.199627848,0.219650192,0.000680086,-0.063137152,2.55731129
2017-09-30,1.456155347,0.697131019,0.096843047,0.198391472,0.220198346,0.001698994,-0.066052492,2.604365734
2017-10-31,1.441128955,0.72118736,0.097667715,0.203016618,0.219567393,0.001573338,-0.065227039,2.618914341
2017-11-30,1.473456016,0.734690781,0.098095209,0.205986879,0.221233046,0.001290432,-0.060232724,2.674519639
2017-12-31,1.582573567,0.766952669,0.109555056,0.195040814,0.214707713,0.001226779,-0.060384739,2.809671859
2018-01-31,1.440673909,0.83397916,0.111690359,0.225163184,0.190793257,0.001958661,-0.070341375,2.733917154
2018-02-28,1.44141916,0.761167438,0.119548506,0.233340795,0.1937924,0.00119289,-0.067428721,2.683032469
2018-03-31,1.331686323,0.747494323,0.119247587,0.235411538,0.20083323,-0.001058581,-0.048530023,2.585084398
2018-04-30,1.38163571,0.774904622,0.10371397,0.222279661,0.200571203,0.002071453,-0.052981935,2.632194684
2018-05-31,1.147851274,0.736387183,0.09905077,0.207831209,0.223678845,-0.007429334,-0.031843414,2.375526532
2018-06-30,1.107218129,0.715456035,0.09364191,0.212006125,0.221932577,-0.009975013,-0.028918004,2.311361759
2018-07-31,1.238350828,0.740483292,0.075227376,0.197014878,0.210856868,-0.007102502,-0.029899265,2.424931474
2018-08-31,1.236129452,0.711480244,0.077990578,0.206325598,0.215750738,-0.014665019,-0.023475765,2.409535826
2018-09-30,1.033964633,0.734115662,0.080891139,0.223764821,0.193663819,-0.009540377,-0.026144623,2.230715074
2018-10-31,1.109675572,0.574460068,0.068506039,0.201006761,0.161935757,-0.005168238,-0.025382661,2.085033299
2018-11-30,1.276178879,0.57824896,0.07055725,0.220969562,0.119285857,-0.006155782,-0.021272661,2.237812066
2018-12-31,1.321550994,0.490367579,0.053683052,0.207938678,0.151929956,-0.003776406,-0.032942464,2.188751389
2019-01-31,1.353563625,0.566292088,0.049401418,0.193195882,0.17213894,-0.007946432,-0.03080437,2.29584115
2019-02-28,1.247520937,0.5997821,0.048946287,0.211455624,0.175391242,-0.013926842,-0.024649297,2.24452005
2019-03-31,1.396429286,0.604487776,0.040609528,0.197833555,0.204273447,-0.017766693,-0.023885128,2.40198177
2019-04-30,1.303587459,0.642011065,0.038347938,0.19933441,0.222004987,-0.023773534,-0.022183895,2.359328429
2019-05-31,1.195505216,0.584223238,0.043283984,0.226604959,0.212781202,-0.031159905,-0.022963356,2.208275337
2019-06-30,1.231846031,0.651437934,0.0345288,0.227159355,0.215052439,-0.032679017,-0.024357988,2.302987554
